datalen_bytes,pub_count,sub_count,best_effort,multicast,durability,mean_latency_us,mean_total_throughput_mbps,mean_sample_rate,samples_received,samples_lost
100,1,25,False,False,2,1931.083177637252,185.67630252100838,232094.7025210084,138411868.0,0.0
100,1,25,False,False,3,3055.424517188448,38.45730103806228,48050.18615916955,69392664.0,0.0
100,1,50,True,True,0,4157.396810221198,1398.2055462184871,1747717.3210084033,1043637462.0,1134613325.0
100,1,50,True,True,1,3392.14210286383,1387.9650420168066,1734944.8235294118,1036176477.0,1061212574.0
100,1,50,True,True,2,3455.6963001365452,1396.1934453781512,1745229.7731092437,1042127746.0,1049372780.0
100,1,50,True,True,3,3987.8745176148386,1391.5552941176472,1739402.9008403362,1038464756.0,1066108562.0
100,1,50,True,False,0,312.0785607436692,249.632268907563,312103.425210084,186073709.0,0.0
100,1,50,True,False,1,270.37741534720203,252.45697478991596,315577.39327731094,188134391.0,0.0
100,1,50,True,False,2,304.7010128399394,251.08638655462184,313694.8857142857,186952041.0,190.0
100,1,50,True,False,3,305.4900231893437,247.5357983193277,309255.87058823527,184389363.0,11.0
100,1,50,False,True,0,683.2322494544536,739.3942857142857,924206.3865546219,551300581.0,0.0
100,1,50,False,True,1,618.99317265478,744.089243697479,930080.4420168067,554964405.0,0.0
100,1,50,False,True,2,638.446904757553,729.8115966386555,912221.468907563,544174898.0,0.0
100,1,50,False,True,3,627.7247863713058,735.226050420168,918954.5882352941,548344739.0,0.0
100,1,50,False,False,0,3080.4980532993222,198.78067226890755,248457.72605042017,148099776.0,0.0
100,1,50,False,False,1,3139.520230246645,199.32857142857142,249094.31092436975,148527748.0,0.0
100,1,50,False,False,2,3334.30973480481,202.46134453781514,253037.14117647058,151047270.0,0.0
100,1,75,True,True,0,5001.438386891811,1366.9927731092437,1708701.6336134453,1020946290.0,1441679038.0
100,1,75,True,True,1,4850.461144818288,1390.7211764705883,1738342.5428571429,1038398356.0,1411900557.0
100,1,75,True,True,2,5467.575692192717,1408.7566386554622,1760919.1798319328,1051353028.0,1464500954.0
